HORVU.MOREX.r3.1HG0079220.1	ref|XP_044980484.1|	antifreeze protein Maxi-like [Hordeum vulgare subsp. vulgare]	100.000	100	1.97e-132	377	4513;112509	N/A;N/A
HORVU.MOREX.r3.1HG0079220.1	ref|XP_020195673.1|	uncharacterized protein [Aegilops tauschii subsp. strangulata]	88.235	100	1.55e-79	243	4565;200361	N/A;N/A
HORVU.MOREX.r3.1HG0079220.1	emb|CAP2975679.1|	unnamed protein product [Hordeum erectifolium]	89.706	100	8.34e-78	239	58926	N/A
HORVU.MOREX.r3.1HG0079220.1	gb|KAM3412314.1|	hypothetical protein ACQJBY_003796 [Aegilops geniculata]	83.654	100	8.96e-70	219	130459	N/A
HORVU.MOREX.r3.1HG0079220.1	ref|XP_037473225.1|	uncharacterized protein LOC119349312 [Triticum dicoccoides]	83.902	100	3.46e-61	197	4565;85692	N/A;N/A
HORVU.MOREX.r3.1HG0079290.1	ref|XP_044962762.1|	uncharacterized protein LOC123416960 [Hordeum vulgare subsp. vulgare]	100.000	100	5.02e-90	264	4513;112509	N/A;N/A
HORVU.MOREX.r3.1HG0079290.1	gb|KAI5019639.1|	hypothetical protein ZWY2020_044527 [Hordeum vulgare]	96.970	100	2.03e-87	258	4513	N/A
HORVU.MOREX.r3.1HG0079290.1	gb|KAM3412309.1|	hypothetical protein ACQJBY_003792 [Aegilops geniculata]	78.014	100	6.19e-52	168	130459	N/A
HORVU.MOREX.r3.1HG0079290.1	gb|KAM3299650.1|	hypothetical protein ACQJBY_040918 [Aegilops geniculata]	78.014	100	5.47e-51	166	130459	N/A
HORVU.MOREX.r3.1HG0079290.1	ref|XP_044448360.1|	uncharacterized protein [Triticum aestivum]	76.596	100	7.07e-49	160	4565;4567;4572	N/A;N/A;N/A
HORVU.MOREX.r3.2HG0112840.1	ref|XP_044964341.1|	uncharacterized protein LOC123424732 [Hordeum vulgare subsp. vulgare]	100.000	100	9.68e-174	485	112509	N/A
HORVU.MOREX.r3.2HG0112840.1	gb|KAI5008903.1|	hypothetical protein ZWY2020_009951 [Hordeum vulgare]	99.194	100	1.81e-171	479	4513	N/A
HORVU.MOREX.r3.2HG0112840.1	emb|VAH42290.1|	unnamed protein product [Triticum turgidum subsp. durum]	87.500	100	5.92e-147	418	4567	N/A
HORVU.MOREX.r3.2HG0112840.1	ref|XP_037488742.1|	uncharacterized protein LOC119367288 [Triticum dicoccoides]	87.109	100	1.73e-146	417	85692	N/A
HORVU.MOREX.r3.2HG0112840.1	gb|KAF7006773.1|	hypothetical protein CFC21_021779 [Triticum aestivum]	87.109	100	5.24e-146	415	4565	N/A
HORVU.MOREX.r3.4HG0339140.1	ref|XP_044984029.1|	uncharacterized protein LOC123451082 [Hordeum vulgare subsp. vulgare]	100.000	100	3.19e-153	430	112509	N/A
HORVU.MOREX.r3.4HG0339140.1	gb|KAE8769124.1|	hypothetical protein D1007_59334 [Hordeum vulgare]	99.526	100	1.87e-152	428	4513	N/A
HORVU.MOREX.r3.4HG0339140.1	gb|KAM3310963.1|	hypothetical protein ACQJBY_031558 [Aegilops geniculata]	95.775	100	5.68e-146	412	130459	N/A
HORVU.MOREX.r3.4HG0339140.1	ref|XP_037429100.1|	uncharacterized protein LOC119294911 [Triticum dicoccoides]	95.775	100	5.75e-146	412	85692	N/A
HORVU.MOREX.r3.4HG0339140.1	ref|XP_048573213.1|	uncharacterized protein LOC125553479 [Triticum urartu]	95.775	100	6.14e-146	412	4572	N/A
