HORVU.MOREX.r3.1HG0051670.1	sp|P93733|PLDB1_ARATH	sp|P93733|PLDB1_ARATH Phospholipase D beta 1 OS=Arabidopsis thaliana OX=3702 GN=PLDBETA1 PE=1 SV=4	71.3	72.9	821	0.0	1228
HORVU.MOREX.r3.1HG0051670.1	sp|Q9T053|PLDG1_ARATH	sp|Q9T053|PLDG1_ARATH Phospholipase D gamma 1 OS=Arabidopsis thaliana OX=3702 GN=PLDGAMMA1 PE=1 SV=1	67.3	75.0	850	0.0	1193
HORVU.MOREX.r3.1HG0051670.1	sp|O23078|PLDB2_ARATH	sp|O23078|PLDB2_ARATH Phospholipase D beta 2 OS=Arabidopsis thaliana OX=3702 GN=PLDBETA2 PE=1 SV=3	68.5	74.7	840	0.0	1191
HORVU.MOREX.r3.1HG0051670.1	sp|Q9T052|PLDG3_ARATH	sp|Q9T052|PLDG3_ARATH Phospholipase D gamma 3 OS=Arabidopsis thaliana OX=3702 GN=PLDGAMMA3 PE=1 SV=1	65.2	74.5	848	0.0	1157
HORVU.MOREX.r3.1HG0051670.1	sp|Q9T051|PLDG2_ARATH	sp|Q9T051|PLDG2_ARATH Phospholipase D gamma 2 OS=Arabidopsis thaliana OX=3702 GN=PLDGAMMA2 PE=1 SV=3	64.7	74.5	849	0.0	1135
HORVU.MOREX.r3.1HG0077700.1	sp|Q68Y52|RAC2_ORYSJ	sp|Q68Y52|RAC2_ORYSJ Rac-like GTP-binding protein 2 OS=Oryza sativa subsp. japonica OX=39947 GN=RAC2 PE=2 SV=1	92.3	97.6	208	1.01e-137	387
HORVU.MOREX.r3.1HG0077700.1	sp|O82480|RAC7_ARATH	sp|O82480|RAC7_ARATH Rac-like GTP-binding protein ARAC7 OS=Arabidopsis thaliana OX=3702 GN=ARAC7 PE=1 SV=1	84.9	100	212	1.08e-124	353
HORVU.MOREX.r3.1HG0077700.1	sp|Q9SSX0|RAC1_ORYSJ	sp|Q9SSX0|RAC1_ORYSJ Rac-like GTP-binding protein 1 OS=Oryza sativa subsp. japonica OX=39947 GN=RAC1 PE=1 SV=1	80.4	98.6	209	2.77e-119	340
HORVU.MOREX.r3.1HG0077700.1	sp|O04369|RAC1_LOTJA	sp|O04369|RAC1_LOTJA Rac-like GTP-binding protein RAC1 OS=Lotus japonicus OX=34305 GN=RAC1 PE=2 SV=1	77.6	94.8	201	6.03e-110	316
HORVU.MOREX.r3.1HG0077700.1	sp|Q6Z808|RAC3_ORYSJ	sp|Q6Z808|RAC3_ORYSJ Rac-like GTP-binding protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=RAC3 PE=2 SV=1	74.8	97.2	206	2.20e-109	315
