HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	Gene3D	G3DSA:2.120.10.80	-	31	368	4.0E-39	T	02-06-2026	IPR015915	Kelch-type beta-propeller	GO:0005515(InterPro)	Reactome:R-BTA-6811440|Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-CEL-9772755|Reactome:R-DDI-193648|Reactome:R-DDI-4641258|Reactome:R-DDI-5658442|Reactome:R-DDI-5675482|Reactome:R-DDI-8951664|Reactome:R-DDI-9013148|Reactome:R-DDI-9013149|Reactome:R-DDI-9755511|Reactome:R-DDI-983168|Reactome:R-DME-3214847|Reactome:R-DME-5689603|Reactome:R-DME-8951664|Reactome:R-DME-9772755|Reactome:R-DME-983168|Reactome:R-DRE-4641258|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-8951664|Reactome:R-GGA-983168|Reactome:R-HSA-1266695|Reactome:R-HSA-2151201|Reactome:R-HSA-3214847|Reactome:R-HSA-381038|Reactome:R-HSA-4641258|Reactome:R-HSA-5658442|Reactome:R-HSA-5687128|Reactome:R-HSA-5689603|Reactome:R-HSA-5689880|Reactome:R-HSA-6782861|Reactome:R-HSA-6811440|Reactome:R-HSA-8951664|Reactome:R-HSA-9679191|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-9772755|Reactome:R-HSA-983168|Reactome:R-HSA-9861718|Reactome:R-MMU-3214847|Reactome:R-MMU-4641258|Reactome:R-MMU-5689603|Reactome:R-MMU-5689880|Reactome:R-MMU-6811440|Reactome:R-MMU-8951664|Reactome:R-MMU-9755511|Reactome:R-MMU-9772755|Reactome:R-MMU-983168|Reactome:R-MMU-9861718|Reactome:R-RNO-3214847|Reactome:R-RNO-4641258|Reactome:R-RNO-5689603|Reactome:R-RNO-5689880|Reactome:R-RNO-6811440|Reactome:R-RNO-8951664|Reactome:R-RNO-9755511|Reactome:R-RNO-9772755|Reactome:R-RNO-983168|Reactome:R-RNO-9861718|Reactome:R-SCE-6798695|Reactome:R-SPO-6798695|Reactome:R-SPO-69273|Reactome:R-SPO-9861718|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-8951664|Reactome:R-XTR-983168
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	PANTHER	PTHR47365	PLANT PROTEIN, PUTATIVE-RELATED	29	386	0.0	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	SMART	SM00612	kelc_smart	86	146	0.22	T	02-06-2026	IPR006652	Kelch repeat type 1	GO:0005515(InterPro)	Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-DDI-193648|Reactome:R-DDI-4641258|Reactome:R-DDI-5658442|Reactome:R-DDI-8951664|Reactome:R-DDI-9013148|Reactome:R-DDI-9013149|Reactome:R-DDI-9755511|Reactome:R-DDI-983168|Reactome:R-DME-8951664|Reactome:R-DME-983168|Reactome:R-DRE-4641258|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-8951664|Reactome:R-GGA-983168|Reactome:R-HSA-381038|Reactome:R-HSA-4641258|Reactome:R-HSA-5658442|Reactome:R-HSA-5689880|Reactome:R-HSA-8951664|Reactome:R-HSA-9679191|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-983168|Reactome:R-HSA-9861718|Reactome:R-MMU-4641258|Reactome:R-MMU-5689880|Reactome:R-MMU-8951664|Reactome:R-MMU-9755511|Reactome:R-MMU-983168|Reactome:R-MMU-9861718|Reactome:R-RNO-4641258|Reactome:R-RNO-5689880|Reactome:R-RNO-8951664|Reactome:R-RNO-9755511|Reactome:R-RNO-983168|Reactome:R-RNO-9861718|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-8951664|Reactome:R-XTR-983168
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	SMART	SM00612	kelc_smart	37	85	4.2	T	02-06-2026	IPR006652	Kelch repeat type 1	GO:0005515(InterPro)	Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-DDI-193648|Reactome:R-DDI-4641258|Reactome:R-DDI-5658442|Reactome:R-DDI-8951664|Reactome:R-DDI-9013148|Reactome:R-DDI-9013149|Reactome:R-DDI-9755511|Reactome:R-DDI-983168|Reactome:R-DME-8951664|Reactome:R-DME-983168|Reactome:R-DRE-4641258|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-8951664|Reactome:R-GGA-983168|Reactome:R-HSA-381038|Reactome:R-HSA-4641258|Reactome:R-HSA-5658442|Reactome:R-HSA-5689880|Reactome:R-HSA-8951664|Reactome:R-HSA-9679191|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-983168|Reactome:R-HSA-9861718|Reactome:R-MMU-4641258|Reactome:R-MMU-5689880|Reactome:R-MMU-8951664|Reactome:R-MMU-9755511|Reactome:R-MMU-983168|Reactome:R-MMU-9861718|Reactome:R-RNO-4641258|Reactome:R-RNO-5689880|Reactome:R-RNO-8951664|Reactome:R-RNO-9755511|Reactome:R-RNO-983168|Reactome:R-RNO-9861718|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-8951664|Reactome:R-XTR-983168
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	SMART	SM00612	kelc_smart	147	196	4.8E-4	T	02-06-2026	IPR006652	Kelch repeat type 1	GO:0005515(InterPro)	Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-DDI-193648|Reactome:R-DDI-4641258|Reactome:R-DDI-5658442|Reactome:R-DDI-8951664|Reactome:R-DDI-9013148|Reactome:R-DDI-9013149|Reactome:R-DDI-9755511|Reactome:R-DDI-983168|Reactome:R-DME-8951664|Reactome:R-DME-983168|Reactome:R-DRE-4641258|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-8951664|Reactome:R-GGA-983168|Reactome:R-HSA-381038|Reactome:R-HSA-4641258|Reactome:R-HSA-5658442|Reactome:R-HSA-5689880|Reactome:R-HSA-8951664|Reactome:R-HSA-9679191|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-983168|Reactome:R-HSA-9861718|Reactome:R-MMU-4641258|Reactome:R-MMU-5689880|Reactome:R-MMU-8951664|Reactome:R-MMU-9755511|Reactome:R-MMU-983168|Reactome:R-MMU-9861718|Reactome:R-RNO-4641258|Reactome:R-RNO-5689880|Reactome:R-RNO-8951664|Reactome:R-RNO-9755511|Reactome:R-RNO-983168|Reactome:R-RNO-9861718|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-8951664|Reactome:R-XTR-983168
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	MobiDBLite	mobidb-lite	consensus disorder prediction	1	29	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	Pfam	PF01344	Kelch motif	135	183	2.0E-4	T	02-06-2026	IPR006652	Kelch repeat type 1	GO:0005515(InterPro)	Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-DDI-193648|Reactome:R-DDI-4641258|Reactome:R-DDI-5658442|Reactome:R-DDI-8951664|Reactome:R-DDI-9013148|Reactome:R-DDI-9013149|Reactome:R-DDI-9755511|Reactome:R-DDI-983168|Reactome:R-DME-8951664|Reactome:R-DME-983168|Reactome:R-DRE-4641258|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-8951664|Reactome:R-GGA-983168|Reactome:R-HSA-381038|Reactome:R-HSA-4641258|Reactome:R-HSA-5658442|Reactome:R-HSA-5689880|Reactome:R-HSA-8951664|Reactome:R-HSA-9679191|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-983168|Reactome:R-HSA-9861718|Reactome:R-MMU-4641258|Reactome:R-MMU-5689880|Reactome:R-MMU-8951664|Reactome:R-MMU-9755511|Reactome:R-MMU-983168|Reactome:R-MMU-9861718|Reactome:R-RNO-4641258|Reactome:R-RNO-5689880|Reactome:R-RNO-8951664|Reactome:R-RNO-9755511|Reactome:R-RNO-983168|Reactome:R-RNO-9861718|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-8951664|Reactome:R-XTR-983168
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	SUPERFAMILY	SSF117281	Kelch motif	38	346	6.54E-41	T	02-06-2026	IPR015915	Kelch-type beta-propeller	GO:0005515(InterPro)	Reactome:R-BTA-6811440|Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-CEL-9772755|Reactome:R-DDI-193648|Reactome:R-DDI-4641258|Reactome:R-DDI-5658442|Reactome:R-DDI-5675482|Reactome:R-DDI-8951664|Reactome:R-DDI-9013148|Reactome:R-DDI-9013149|Reactome:R-DDI-9755511|Reactome:R-DDI-983168|Reactome:R-DME-3214847|Reactome:R-DME-5689603|Reactome:R-DME-8951664|Reactome:R-DME-9772755|Reactome:R-DME-983168|Reactome:R-DRE-4641258|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-8951664|Reactome:R-GGA-983168|Reactome:R-HSA-1266695|Reactome:R-HSA-2151201|Reactome:R-HSA-3214847|Reactome:R-HSA-381038|Reactome:R-HSA-4641258|Reactome:R-HSA-5658442|Reactome:R-HSA-5687128|Reactome:R-HSA-5689603|Reactome:R-HSA-5689880|Reactome:R-HSA-6782861|Reactome:R-HSA-6811440|Reactome:R-HSA-8951664|Reactome:R-HSA-9679191|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-9772755|Reactome:R-HSA-983168|Reactome:R-HSA-9861718|Reactome:R-MMU-3214847|Reactome:R-MMU-4641258|Reactome:R-MMU-5689603|Reactome:R-MMU-5689880|Reactome:R-MMU-6811440|Reactome:R-MMU-8951664|Reactome:R-MMU-9755511|Reactome:R-MMU-9772755|Reactome:R-MMU-983168|Reactome:R-MMU-9861718|Reactome:R-RNO-3214847|Reactome:R-RNO-4641258|Reactome:R-RNO-5689603|Reactome:R-RNO-5689880|Reactome:R-RNO-6811440|Reactome:R-RNO-8951664|Reactome:R-RNO-9755511|Reactome:R-RNO-9772755|Reactome:R-RNO-983168|Reactome:R-RNO-9861718|Reactome:R-SCE-6798695|Reactome:R-SPO-6798695|Reactome:R-SPO-69273|Reactome:R-SPO-9861718|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-8951664|Reactome:R-XTR-983168
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	MobiDBLite	mobidb-lite	consensus disorder prediction	20	29	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.6HG0627060.1	95097277ff96453deb0121e21a9716b9	388	MobiDBLite	mobidb-lite	consensus disorder prediction	10	19	-	T	02-06-2026	-	-	-	-
