HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	Gene3D	G3DSA:1.10.8.140	-	113	220	5.9E-34	T	02-06-2026	IPR036883	PDCD5-like superfamily	GO:0003677(InterPro)	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	PANTHER	PTHR10840	PROGRAMMED CELL DEATH PROTEIN 5	113	239	2.6E-52	T	02-06-2026	IPR002836	PDCD5-like	GO:0003677(InterPro)|GO:0005634(PANTHER)|GO:0005829(PANTHER)	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	SUPERFAMILY	SSF46950	Double-stranded DNA-binding domain	120	228	6.54E-31	T	02-06-2026	IPR036883	PDCD5-like superfamily	GO:0003677(InterPro)	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	Pfam	PF01984	Double-stranded DNA-binding domain	120	231	5.0E-27	T	02-06-2026	IPR002836	PDCD5-like	GO:0003677(InterPro)	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	MobiDBLite	mobidb-lite	consensus disorder prediction	34	98	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	MobiDBLite	mobidb-lite	consensus disorder prediction	79	91	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	FunFam	G3DSA:1.10.8.140:FF:000002	Programmed cell death, putative	113	221	1.9E-60	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	MobiDBLite	mobidb-lite	consensus disorder prediction	145	156	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	Coils	Coil	Coil	142	170	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.1HG0079230.1	06e7f99efe2c31e38693f809e8a978c2	239	MobiDBLite	mobidb-lite	consensus disorder prediction	129	156	-	T	02-06-2026	-	-	-	-
