HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	1	53	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	54	76	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	Pfam	PF04367	Protein of unknown function (DUF502)	100	200	5.7E-24	T	02-06-2026	IPR007462	Protein CONTINUOUS VASCULAR RING 1-like	-	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	PANTHER	PTHR31876	COV-LIKE PROTEIN 1	9	242	2.9E-124	T	02-06-2026	IPR007462	Protein CONTINUOUS VASCULAR RING 1-like	GO:0005794(PANTHER)	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	95	123	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	76	94	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	102	124	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	124	259	-	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.3HG0299450.1	fa771ae6388465be2f0a8d8b39863831	259	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	54	75	-	T	02-06-2026	-	-	-	-
