Bin	Sum_R2	SumSq_R2	N_Pairs
0	2.21752e+06	1.63261e+06	7994011
1000	1.46008e+06	1.07258e+06	5220782
2000	1.2549e+06	919245	4552945
3000	1.11895e+06	818660	4101801
4000	1.00317e+06	731352	3719919
5000	929313	677024	3470887
6000	856355	622858	3227161
7000	801799	584795	3027337
8000	758408	552977	2866471
9000	726727	528492	2775162
10000	717662	522477	2742720
11000	705833	513199	2711753
12000	689075	501712	2649967
13000	678004	493444	2606390
14000	671001	488751	2571704
15000	662976	481553	2555298
16000	657991	478913	2527174
17000	652002	474220	2502119
18000	648528	471756	2485840
19000	642302	467701	2452930
20000	639990	466779	2443568
21000	639871	467353	2426418
22000	637906	466816	2409930
23000	630628	460107	2405812
25000	628341	457957	2404054
26000	630398	458606	2441038
27000	625092	455478	2406249
28000	622546	452859	2410186
29000	618931	450351	2397097
30000	615968	446975	2403780
31000	613259	446346	2383896
33000	610690	443882	2385857
34000	613442	446102	2395484
35000	613360	445684	2402173
36000	613475	445219	2407623
37000	607920	441027	2387489
38000	610157	442734	2396688
39000	607762	441001	2383448
40000	602159	437623	2367116
41000	598527	434985	2348137
42000	600079	435764	2359841
43000	591492	429000	2342167
44000	590062	427505	2343040
45000	583403	421517	2334773
46000	579925	419762	2309875
47000	576905	417016	2305964
48000	577143	417211	2303388
50000	569368	410331	2304289
52000	565048	408054	2275692
53000	560939	404334	2266272
54000	556750	401654	2257840
55000	561104	404497	2280462
56000	560075	402826	2291781
57000	555174	398300	2279896
58000	557430	399635	2303926
59000	559027	400536	2319532
60000	556342	399508	2300786
62000	549416	393983	2274908
63000	553018	397359	2277833
64000	552098	396300	2286196
65000	548576	393276	2287054
66000	546084	391883	2270615
67000	545484	391390	2273070
68000	543252	389610	2278244
69000	542110	388303	2284613
70000	537857	385049	2259715
71000	536432	382909	2269058
72000	534488	381228	2266496
73000	532237	378989	2265194
74000	526820	374979	2248970
75000	520538	369988	2237987
75331	104406	1609891
76000	517114	367156	2228466
77000	510511	361933	2206883
78000	507694	360359	2198528
79000	503905	357983	2175907
80000	504601	358948	2179303
81000	506841	361019	2184950
82000	505643	359446	2192394
83000	509792	362445	2203811
84000	506207	359642	2190864
85000	504402	358515	2173075
86000	499777	354905	2164749
88000	500138	355512	2155506
89000	496897	352059	2168081
90000	497072	352769	2167140
91000	495538	351377	2161711
92000	494008	350662	2152042
94000	493419	349814	2154805
95000	490688	347035	2153918
96000	487871	344395	2154712
97000	484583	341370	2149067
98000	485311	342049	2149910
99000	483390	340846	2139842
100000	473865	332714	2128407
101000	474158	333553	2123153
102000	474594	334143	2117578
103000	475458	334875	2110575
105000	476905	336106	2112819
106000	481650	340027	2138811
107000	480574	338848	2132660
108000	480837	339453	2134330
109000	481587	340470	2135627
110000	475119	335059	2122429
111000	471991	332276	2125000
112000	470358	330092	2132328
113000	464854	326618	2098825
114000	467929	328855	2115600
115000	469059	329269	2135857
117000	465446	325900	2128410
118000	463547	324700	2118377
119000	465861	325903	2140089
121000	457768	319880	2115676
122000	453481	316731	2108264
123000	455310	318556	2103433
125000	452703	316370	2096276
126000	450403	314936	2087698
127000	450088	314142	2095264
128000	453121	316839	2102361
129000	448820	313903	2080787
131000	446481	311848	2086165
132000	439869	305965	2071778
133000	433219	301347	2045699
134000	432639	300682	2038945
135000	431574	299267	2046210
136000	430940	298831	2048491
137000	429613	297600	2051467
138000	430267	297956	2059878
139000	424991	293506	2047495
140000	429210	297424	2056555
141000	428557	296991	2054046
142000	428202	296997	2045345
143000	427057	296483	2037802
144000	428597	297779	2043416
146000	428428	296404	2055190
147000	425107	292837	2048042
148000	425047	292557	2050689
149000	420706	289342	2032864
150000	418557	288130	2021381
151000	418027	288702	2017876
152000	418163	288116	2031459
154000	411064	284157	1987948
155000	409191	282416	1991902
156000	412004	283784	2016009
157000	410638	281807	2022551
158000	407486	279462	2017408
159000	407098	278901	2021912
160000	407300	278629	2022266
161000	408850	280277	2032639
162000	406924	278528	2029221
163000	406537	277799	2038137
164000	403437	274593	2048986
165000	402535	274348	2040959
166000	400313	272552	2025080
167000	400870	273426	2022617
168000	398386	271826	2002479
169000	400819	273721	2003999
170000	401276	274466	2000595
171000	401501	274207	2001786
172000	397808	271768	1995800
173000	393364	268229	1983938
174000	393966	269197	1983000
175000	393413	268840	1989728
177000	386857	263178	1981384
178000	386632	263498	1988323
179000	388281	265017	1985184
180000	387351	263952	1992038
181000	387769	265157	1980626
182000	384362	262992	1958951
183000	382685	262360	1945055
184000	384568	263318	1960348
185000	382827	262235	1949916
186000	382253	260912	1950461
