"Trait","Pattern","short_Tag","y2019","y2020","y2021","change_19_21","stability","range_all","slope1","slope2","crossover","metric_driving_selection"
"Protein","Most stable","25_14",0.313325599381284,0.372954345917473,0.356309114359414,0.0429835149781296,0.0762739780942485,0.059628746536189,0.059628746536189,-0.0166452315580594,0.059628746536189,0.0762739780942485
"Protein","Strongest increase","12_07",-1.93000773395205,-1.40954565408253,2.78130911435941,4.71131684831146,4.71131684831146,4.71131684831146,0.520462079869521,4.19085476844194,0,4.71131684831146
"Protein","Strongest decrease","06_01",1.53332559938128,1.65545434591747,-2.85019088564059,-4.38351648502187,4.62777397809425,4.50564523155806,0.122128746536188,-4.50564523155806,4.50564523155806,-4.38351648502187
"Protein","Strongest crossover","03_12",-2.55334106728538,2.25045434591747,1.37180911435941,3.9251501816448,5.68244064476091,4.80379541320286,4.80379541320286,-0.878645231558058,4.80379541320286,4.80379541320286
"Starch","Most stable","14_05",-9.14798917246713,-9.10040971612526,-9.81629406706793,-0.668304894600796,0.763463807284539,0.715884350942668,0.0475794563418717,-0.715884350942668,0.715884350942668,0.763463807284539
"Starch","Strongest increase","06_20",-6.58132250580046,0.0829236172080758,6.25870593293207,12.8400284387325,12.8400284387325,12.8400284387325,6.66424612300854,6.175782315724,0,12.8400284387325
"Starch","Strongest decrease","28_18",-3.24798917246713,-7.51707638279192,-19.2662940670679,-16.0183048946008,16.0183048946008,16.0183048946008,-4.26908721032479,-11.749217684276,0,-16.0183048946008
"Starch","Strongest crossover","29_08",5.05201082753287,9.63292361720808,-8.91629406706793,-13.9683048946008,23.1301304739512,18.549217684276,4.58091278967521,-18.549217684276,18.549217684276,18.549217684276
"β-glucan","Most stable","12_03",-0.0150502706883214,-0.0246861281826165,0.016445399828031,0.0314956705163524,0.0507673855049426,0.0411315280106475,-0.00963585749429511,0.0411315280106475,0.0411315280106475,0.0507673855049426
"β-glucan","Strongest increase","28_18",-0.681716937354988,0.0278138718173833,1.42444539982803,2.10616233718302,2.10616233718302,2.10616233718302,0.709530809172372,1.39663152801065,0,2.10616233718302
"β-glucan","Strongest decrease","30_17",1.93828306264501,-0.222186128182617,-0.487554600171969,-2.42583766281698,2.42583766281698,2.42583766281698,-2.16046919082763,-0.265368471989352,0,-2.42583766281698
"β-glucan","Strongest crossover","11_06",0.251616395978345,1.78531387181738,-0.611554600171969,-0.863170996150314,3.93056594782839,2.39686847198935,1.53369747583904,-2.39686847198935,2.39686847198935,2.39686847198935
"Fiber","Most stable","30_17",-0.269570765661253,-0.238366988586479,-0.236804815133276,0.032765950527977,0.032765950527977,0.032765950527977,0.0312037770747733,0.00156217345320361,0,0.032765950527977
"Fiber","Strongest increase","20_16",-1.02457076566125,-0.0183669885864791,0.181195184866724,1.20576595052798,1.20576595052798,1.20576595052798,1.00620377707477,0.199562173453203,0,1.20576595052798
"Fiber","Strongest decrease","13_20",1.25542923433875,0.806633011413521,0.0231951848667241,-1.23223404947202,1.23223404947202,1.23223404947202,-0.448796222925226,-0.783437826546797,0,-1.23223404947202
"Fiber","Strongest crossover","14_01",0.0637625676720806,1.97163301141352,0.233695184866724,0.169932617194643,3.64580827028824,1.90787044374144,1.90787044374144,-1.7379378265468,1.90787044374144,1.90787044374144
