"short_Tag","season","Mean_Value","Trait"
"01_03","2019",-3.25667440061872,"Protein"
"01_03","2021",-2.39119088564059,"Protein"
"01_05","2019",-2.32000773395205,"Protein"
"01_05","2020",1.77545434591747,"Protein"
"01_05","2021",1.47580911435941,"Protein"
"01_06","2019",-1.07334106728538,"Protein"
"01_06","2020",0.250454345917473,"Protein"
"01_06","2021",-1.72285755230725,"Protein"
"01_07","2019",0.983325599381284,"Protein"
"01_07","2020",0.892954345917473,"Protein"
"01_07","2021",-3.13419088564059,"Protein"
"01_08","2019",-2.08334106728538,"Protein"
"01_08","2020",-1.76704565408253,"Protein"
"01_08","2021",-0.821190885640586,"Protein"
"01_10","2019",-0.0433410672853825,"Protein"
"01_10","2020",0.702954345917473,"Protein"
"01_10","2021",1.18780911435941,"Protein"
"01_11","2019",0.693325599381283,"Protein"
"01_11","2020",-1.27204565408253,"Protein"
"01_11","2021",-0.644190885640586,"Protein"
"01_12","2019",2.32999226604795,"Protein"
"01_12","2020",-0.454545654082528,"Protein"
"01_12","2021",-0.274190885640586,"Protein"
"01_13","2019",1.29332559938128,"Protein"
"01_13","2020",-2.28704565408253,"Protein"
"01_13","2021",0.386309114359415,"Protein"
"01_18","2019",-1.51334106728538,"Protein"
"01_18","2020",1.13045434591747,"Protein"
"01_18","2021",-0.0481908856405862,"Protein"
"02_01","2019",1.17999226604795,"Protein"
"02_01","2020",-2.06704565408253,"Protein"
"02_01","2021",0.0398091143594129,"Protein"
"02_02","2019",-0.343341067285382,"Protein"
"02_02","2020",0.735454345917472,"Protein"
"02_02","2021",-0.278690885640587,"Protein"
"02_03","2019",-0.763341067285383,"Protein"
"02_03","2020",-1.12454565408253,"Protein"
"02_03","2021",-0.590190885640586,"Protein"
"02_05","2019",-0.0266744006187155,"Protein"
"02_05","2020",1.53795434591747,"Protein"
"02_05","2021",0.807809114359413,"Protein"
"02_06","2019",-0.840007733952049,"Protein"
"02_06","2020",-0.0245456540825271,"Protein"
"02_06","2021",0.901809114359414,"Protein"
"02_08","2019",0.523325599381285,"Protein"
"02_08","2020",0.510454345917472,"Protein"
"02_08","2021",-0.374190885640586,"Protein"
"02_09","2019",-0.840007733952049,"Protein"
"02_09","2020",-1.73204565408253,"Protein"
"02_09","2021",-1.59619088564059,"Protein"
"02_11","2019",1.08999226604795,"Protein"
"02_11","2020",-0.372045654082528,"Protein"
"02_11","2021",-0.348190885640587,"Protein"
"02_13","2019",0.413325599381285,"Protein"
"02_13","2020",-0.117045654082527,"Protein"
"02_13","2021",-1.28619088564059,"Protein"
"02_15","2019",1.79332559938128,"Protein"
"02_15","2020",1.16295434591747,"Protein"
"02_15","2021",0.591809114359413,"Protein"
"03_01","2019",0.003325599381285,"Protein"
"03_01","2020",0.915454345917473,"Protein"
"03_01","2021",-0.332190885640586,"Protein"
"03_02","2019",0.643325599381284,"Protein"
"03_02","2021",-0.0986908856405857,"Protein"
"03_05","2019",0.88999226604795,"Protein"
"03_05","2020",2.01045434591747,"Protein"
"03_05","2021",1.42130911435941,"Protein"
"03_06","2019",0.859992266047951,"Protein"
"03_06","2020",2.85295434591747,"Protein"
"03_06","2021",0.921309114359414,"Protein"
"03_07","2019",-0.106674400618716,"Protein"
"03_07","2020",-0.119545654082527,"Protein"
"03_07","2021",0.973809114359415,"Protein"
"03_11","2019",-0.0466744006187157,"Protein"
"03_11","2020",2.68545434591747,"Protein"
"03_11","2021",-0.558690885640586,"Protein"
"03_12","2019",-2.55334106728538,"Protein"
"03_12","2020",2.25045434591747,"Protein"
"03_12","2021",1.37180911435941,"Protein"
"03_18","2019",-2.54667440061872,"Protein"
"03_18","2020",1.73295434591747,"Protein"
"03_18","2021",-0.842857552307253,"Protein"
"03_19","2019",-1.20334106728538,"Protein"
"03_19","2020",1.51295434591747,"Protein"
"03_19","2021",0.528809114359413,"Protein"
"03_20","2019",-1.81334106728538,"Protein"
"03_20","2020",2.09045434591747,"Protein"
"03_20","2021",-2.11619088564059,"Protein"
"05_01","2019",0.109992266047951,"Protein"
"05_01","2020",-0.144545654082528,"Protein"
"05_01","2021",-0.0641908856405866,"Protein"
"05_04","2019",1.90332559938128,"Protein"
"05_04","2020",-1.20204565408253,"Protein"
"05_04","2021",0.213809114359414,"Protein"
"05_05","2019",-0.120007733952049,"Protein"
"05_05","2020",-2.04454565408253,"Protein"
"05_05","2021",-3.01619088564059,"Protein"
"05_06","2019",-1.37000773395205,"Protein"
"05_06","2020",-0.352045654082528,"Protein"
"05_06","2021",-1.41119088564059,"Protein"
"05_07","2019",0.139992266047951,"Protein"
"05_07","2020",2.53295434591747,"Protein"
"05_07","2021",0.683809114359414,"Protein"
"05_09","2019",0.80999226604795,"Protein"
"05_09","2020",1.13295434591747,"Protein"
"05_09","2021",-0.839524218973919,"Protein"
"05_10","2019",-0.0900077339520493,"Protein"
"05_10","2020",0.570454345917472,"Protein"
"05_10","2021",-0.306190885640586,"Protein"
"05_13","2019",1.62999226604795,"Protein"
"05_13","2020",0.895454345917472,"Protein"
"05_13","2021",0.207809114359414,"Protein"
"05_14","2019",1.05665893271462,"Protein"
"05_14","2020",1.11795434591747,"Protein"
"05_14","2021",-1.88819088564059,"Protein"
"05_15","2019",-1.32000773395205,"Protein"
"05_15","2020",-0.00454565408252794,"Protein"
"05_15","2021",-1.26019088564059,"Protein"
"06_01","2019",1.53332559938128,"Protein"
"06_01","2020",1.65545434591747,"Protein"
"06_01","2021",-2.85019088564059,"Protein"
"06_02","2019",-1.22667440061872,"Protein"
"06_02","2020",-0.0945456540825269,"Protein"
"06_02","2021",-0.584190885640587,"Protein"
"06_04","2019",0.819992266047951,"Protein"
"06_04","2020",0.720454345917473,"Protein"
"06_04","2021",1.14580911435941,"Protein"
"06_05","2019",-0.560007733952049,"Protein"
"06_05","2020",0.360454345917472,"Protein"
"06_05","2021",-0.454190885640587,"Protein"
"06_06","2019",0.463325599381285,"Protein"
"06_06","2020",0.457954345917473,"Protein"
"06_06","2021",-0.752190885640587,"Protein"
"06_09","2019",2.29332559938128,"Protein"
"06_09","2020",1.70795434591747,"Protein"
"06_09","2021",0.978809114359414,"Protein"
"06_11","2019",-1.58667440061872,"Protein"
"06_11","2020",-0.662045654082527,"Protein"
"06_11","2021",1.98380911435941,"Protein"
"06_16","2019",0.989992266047951,"Protein"
"06_16","2020",0.765454345917473,"Protein"
"06_16","2021",0.281309114359414,"Protein"
"06_18","2019",-1.55667440061872,"Protein"
"06_18","2020",-1.09454565408253,"Protein"
"06_18","2021",-1.47619088564059,"Protein"
"06_20","2019",2.25999226604795,"Protein"
"06_20","2020",0.970454345917473,"Protein"
"06_20","2021",0.841309114359414,"Protein"
"07_03","2019",0.283325599381284,"Protein"
"07_03","2020",-0.244545654082528,"Protein"
"07_03","2021",-0.856190885640586,"Protein"
"07_04","2019",-0.0633410672853826,"Protein"
"07_04","2020",-0.632045654082528,"Protein"
"07_04","2021",-0.118190885640586,"Protein"
"07_05","2019",-0.33000773395205,"Protein"
"07_05","2020",-0.964545654082527,"Protein"
"07_05","2021",-0.761190885640586,"Protein"
"07_07","2019",-1.12334106728538,"Protein"
"07_07","2020",-0.464545654082527,"Protein"
"07_07","2021",0.978809114359414,"Protein"
"07_08","2019",-1.17000773395205,"Protein"
"07_08","2020",-0.267045654082528,"Protein"
"07_08","2021",-2.54119088564059,"Protein"
"07_12","2019",-1.28000773395205,"Protein"
"07_12","2020",-1.42704565408253,"Protein"
"07_12","2021",-1.20869088564059,"Protein"
"07_14","2019",-1.03667440061872,"Protein"
"07_14","2020",1.57295434591747,"Protein"
"07_14","2021",-0.818690885640586,"Protein"
"07_15","2019",-1.46667440061872,"Protein"
"07_15","2020",0.807954345917473,"Protein"
"07_15","2021",-0.382190885640586,"Protein"
"07_17","2019",-0.490007733952049,"Protein"
"07_17","2020",1.57795434591747,"Protein"
"07_17","2021",0.693809114359414,"Protein"
"07_18","2019",-1.33667440061872,"Protein"
"07_18","2020",0.377954345917473,"Protein"
"07_18","2021",-2.05285755230725,"Protein"
"08_01","2019",-2.27667440061872,"Protein"
"08_01","2020",-2.33954565408253,"Protein"
"08_01","2021",-2.02619088564059,"Protein"
"08_03","2019",1.87332559938129,"Protein"
"08_03","2020",-0.637045654082528,"Protein"
"08_03","2021",-1.67019088564059,"Protein"
"08_04","2019",-0.603341067285383,"Protein"
"08_04","2020",-1.24454565408253,"Protein"
"08_05","2019",0.449992266047951,"Protein"
"08_05","2020",1.48795434591747,"Protein"
"08_05","2021",-1.04369088564059,"Protein"
"08_08","2019",0.359992266047951,"Protein"
"08_08","2020",0.737954345917474,"Protein"
"08_08","2021",1.93380911435941,"Protein"
"08_09","2019",-2.34334106728538,"Protein"
"08_09","2020",-1.11204565408253,"Protein"
"08_09","2021",-1.76619088564059,"Protein"
"08_10","2019",-2.05667440061872,"Protein"
"08_10","2020",-1.39954565408253,"Protein"
"08_10","2021",-3.22119088564059,"Protein"
"08_11","2019",1.96332559938128,"Protein"
"08_11","2020",-2.38204565408253,"Protein"
"08_11","2021",-1.64019088564059,"Protein"
"08_15","2019",-1.35000773395205,"Protein"
"08_15","2020",-0.814545654082527,"Protein"
"08_15","2021",-1.34619088564058,"Protein"
"08_16","2019",-1.30667440061872,"Protein"
"08_16","2020",-2.70454565408253,"Protein"
"08_16","2021",-2.74952421897392,"Protein"
"09_01","2019",0.566658932714618,"Protein"
"09_01","2020",0.960454345917472,"Protein"
"09_01","2021",-1.32619088564059,"Protein"
"09_03","2019",-2.88667440061872,"Protein"
"09_03","2020",-2.46454565408253,"Protein"
"09_03","2021",-3.66119088564059,"Protein"
"09_04","2019",-1.40667440061872,"Protein"
"09_04","2020",-0.0920456540825279,"Protein"
"09_04","2021",-0.286190885640587,"Protein"
"09_05","2019",-0.640007733952049,"Protein"
"09_05","2020",-0.0345456540825273,"Protein"
"09_05","2021",0.543809114359413,"Protein"
"09_09","2019",-0.0800077339520489,"Protein"
"09_09","2020",0.290454345917473,"Protein"
"09_09","2021",0.388809114359414,"Protein"
"09_10","2019",0.983325599381284,"Protein"
"09_10","2020",-0.439545654082527,"Protein"
"09_10","2021",-0.396190885640586,"Protein"
"09_11","2019",-0.846674400618716,"Protein"
"09_11","2020",-2.36204565408253,"Protein"
"09_11","2021",-3.34119088564059,"Protein"
"09_12","2019",-1.73667440061872,"Protein"
"09_12","2020",-1.52204565408253,"Protein"
"09_12","2021",-2.37869088564059,"Protein"
"09_13","2019",0.0966589327146175,"Protein"
"09_13","2020",-1.72537898741586,"Protein"
"09_13","2021",-3.16019088564059,"Protein"
"09_16","2019",-0.286674400618716,"Protein"
"09_16","2020",-2.35204565408253,"Protein"
"09_16","2021",-3.52119088564059,"Protein"
"10_03","2019",-1.53667440061872,"Protein"
"10_03","2020",-0.427045654082527,"Protein"
"10_03","2021",-0.742190885640586,"Protein"
"10_04","2019",-0.216674400618716,"Protein"
"10_04","2020",-1.96704565408253,"Protein"
"10_04","2021",0.263809114359415,"Protein"
"10_05","2019",-0.330007733952048,"Protein"
"10_05","2020",-1.19704565408253,"Protein"
"10_05","2021",-0.944190885640586,"Protein"
"10_06","2019",-0.926674400618715,"Protein"
"10_06","2020",0.185454345917472,"Protein"
"10_06","2021",-0.566190885640586,"Protein"
"10_09","2019",1.57999226604795,"Protein"
"10_09","2020",-1.89204565408253,"Protein"
"10_09","2021",1.87880911435941,"Protein"
"10_10","2019",-0.0266744006187161,"Protein"
"10_10","2020",0.112954345917473,"Protein"
"10_10","2021",-2.66219088564059,"Protein"
"10_11","2019",-1.85667440061872,"Protein"
"10_11","2020",0.360454345917473,"Protein"
"10_11","2021",-1.54619088564059,"Protein"
"10_12","2019",-0.853341067285382,"Protein"
"10_12","2020",0.752954345917472,"Protein"
"10_12","2021",-0.260190885640587,"Protein"
"10_15","2019",-1.31667440061872,"Protein"
"10_15","2020",-1.32704565408253,"Protein"
"10_15","2021",-2.30952421897392,"Protein"
"10_19","2019",-1.28000773395205,"Protein"
"10_19","2020",-1.38704565408253,"Protein"
"10_19","2021",-0.0961908856405866,"Protein"
"11_04","2019",-0.730007733952049,"Protein"
"11_04","2020",1.92795434591747,"Protein"
"11_04","2021",1.06180911435941,"Protein"
"11_05","2019",0.846658932714618,"Protein"
"11_05","2020",-1.60704565408253,"Protein"
"11_05","2021",1.09380911435941,"Protein"
"11_06","2019",0.983325599381284,"Protein"
"11_06","2020",-0.954545654082527,"Protein"
"11_06","2021",1.60580911435941,"Protein"
"11_09","2019",0.863325599381285,"Protein"
